participant_code,timestamp,interval,red,green,white,black
20190412_23_1,1528231450085,907476,0,0,1,0
20190412_23_1,1528231452744,2659,0,0,0,0
20190412_23_1,1528231454300,1556,1,0,0,0
20190412_23_1,1528231454954,654,0,0,0,0
20190412_23_1,1528231457713,2759,1,0,0,0
20190412_23_1,1528231457866,153,1,0,1,0
20190412_23_1,1528231460826,2960,1,1,1,0
20190412_23_1,1528231462131,1305,1,0,1,0
20190412_23_1,1528231462534,403,1,0,1,1
20190412_23_1,1528231462937,403,1,0,1,0
20190412_23_1,1528231464392,1455,0,0,0,0
20190412_23_1,1528231466449,2057,0,0,1,0
20190412_23_1,1528231466501,52,0,1,1,0
20190412_23_1,1528231466653,152,1,1,1,1
20190412_23_1,1528231466705,52,0,1,1,1
20190412_23_1,1528231466757,52,1,1,1,1
20190412_23_1,1528231470065,3308,1,0,1,1
20190412_23_1,1528231470217,152,1,1,1,1
20190412_23_1,1528231470420,203,0,0,1,1
20190412_23_1,1528231470522,102,0,0,1,0
20190412_23_1,1528231470725,203,0,0,0,0
20190412_23_1,1528231476088,5363,0,0,0,1
20190412_23_1,1528231476190,102,0,0,0,0
20190412_23_1,1528231477745,1555,0,0,1,0
20190412_23_1,1528231480603,2858,0,0,0,0
20190412_23_1,1528231481758,1155,0,0,0,1
20190412_23_1,1528231484215,2457,0,0,0,0
20190412_23_1,1528231485573,1358,0,0,0,1
20190412_23_1,1528231485625,52,0,0,0,0
20190412_23_1,1528231485678,53,0,0,0,1
20190412_23_1,1528231485780,102,0,1,0,1
20190412_23_1,1528231490143,4363,0,0,0,1
20190412_23_1,1528231490195,52,0,1,0,1
20190412_23_1,1528231492251,2056,0,0,0,1
20190412_23_1,1528231492353,102,0,1,0,1
20190412_23_1,1528231492856,503,0,0,0,1
20190412_23_1,1528231493359,503,0,1,0,1
20190412_23_1,1528231493511,152,1,1,0,1
20190412_23_1,1528231494315,804,0,1,0,1
20190412_23_1,1528231494617,302,1,1,0,1
20190412_23_1,1528231494819,202,0,1,0,1
20190412_23_1,1528231494921,102,1,1,0,1
20190412_23_1,1528231495074,153,1,1,1,1
20190412_23_1,1528231495628,554,1,1,0,1
20190412_23_1,1528231495931,303,0,1,0,1
20190412_23_1,1528231495983,52,1,1,0,1
20190412_23_1,1528231497088,1105,1,1,1,1
20190412_23_1,1528231498093,1005,1,1,0,1
20190412_23_1,1528231498145,52,1,1,0,0
20190412_23_1,1528231498197,52,1,0,0,0
20190412_23_1,1528231498398,201,0,0,0,0
20190412_23_1,1528231498802,404,0,0,0,1
20190412_23_1,1528231499560,758,0,1,0,1
20190412_23_1,1528231503872,4312,0,0,0,1
20190412_23_1,1528231503924,52,0,0,0,0
20190412_23_1,1528231504327,403,1,0,0,0
20190412_23_1,1528231504980,653,1,0,1,0
20190412_23_1,1528231505886,906,1,0,0,0
20190412_23_1,1528231505989,103,0,0,0,0
20190412_23_1,1528231506442,453,0,1,0,0
20190412_23_1,1528231506845,403,0,0,0,0
20190412_23_1,1528231507198,353,0,0,0,1
20190412_23_1,1528231507952,754,0,1,0,1
20190412_23_1,1528231509507,1555,0,0,0,1
20190412_23_1,1528231509564,57,0,1,0,1
20190412_23_1,1528231510220,656,0,0,0,1
20190412_23_1,1528231510276,56,0,1,0,1
20190412_23_1,1528231514292,4016,0,0,0,1
20190412_23_1,1528231515849,1557,0,1,0,1
20190412_23_1,1528231516651,802,0,0,0,1
20190412_23_1,1528231516954,303,0,1,0,1
20190412_23_1,1528231518507,1553,0,1,1,1
20190412_23_1,1528231518558,51,1,1,1,1
20190412_23_1,1528231518710,152,0,1,1,1
20190412_23_1,1528231518812,102,0,1,0,1
20190412_23_1,1528231519163,351,0,0,0,1
20190412_23_1,1528231519816,653,0,1,0,1
20190412_23_1,1528231521875,2059,0,0,0,1
20190412_23_1,1528231522429,554,0,1,0,1
20190412_23_1,1528231522481,52,0,0,0,1
20190412_23_1,1528231522934,453,0,1,0,1
20190412_23_1,1528231522986,52,0,0,0,1
20190412_23_1,1528231523087,101,0,1,0,1
20190412_23_1,1528231523389,302,0,0,0,1
20190412_23_1,1528231523640,251,0,1,0,1
20190412_23_1,1528231524844,1204,0,0,0,1
20190412_23_1,1528231524946,102,0,1,0,1
20190412_23_1,1528231525096,150,0,0,0,1
20190412_23_1,1528231525248,152,0,1,0,1
20190412_23_1,1528231527706,2458,0,0,0,0
20190412_23_1,1528231529515,1809,0,0,0,1
20190412_23_1,1528231530169,654,0,0,0,0
20190412_23_1,1528231530472,303,0,0,0,1
20190412_23_1,1528231530624,152,0,1,0,1
20190412_23_1,1528231531076,452,0,1,0,0
20190412_23_1,1528231531729,653,0,0,0,0
20190412_23_1,1528231534187,2458,0,0,0,1
20190412_23_1,1528231534289,102,0,1,0,1
20190412_23_1,1528231535692,1403,0,0,0,1
20190412_23_1,1528231535795,103,0,0,0,0
20190412_23_1,1528231536249,454,0,0,0,1
20190412_23_1,1528231539710,3461,0,1,0,1
20190412_23_1,1528231540114,404,0,0,0,1
20190412_23_1,1528231540268,154,0,0,0,0
20190412_23_1,1528231541022,754,0,0,0,1
20190412_23_1,1528231542386,1364,0,0,0,0
20190412_23_1,1528231543594,1208,0,0,0,1
20190412_23_1,1528231543800,206,0,0,0,0
20190412_23_1,1528231543856,56,0,0,0,1
20190412_23_1,1528231544060,204,0,1,0,1
20190412_23_1,1528231544112,52,0,1,0,0
20190412_23_1,1528231544214,102,0,1,0,1
20190412_23_1,1528231544965,751,0,0,0,1
20190412_23_1,1528231545017,52,0,1,0,1
20190412_23_1,1528231545169,152,0,0,0,1
20190412_23_1,1528231545522,353,0,0,0,0
20190412_23_1,1528231561412,15890,1,0,0,0
20190412_23_1,1528231561614,202,0,0,0,0
20190412_23_1,1528231561766,152,1,0,0,0
20190412_23_1,1528231561918,152,0,0,0,0
20190412_23_1,1528231562070,152,1,0,0,0
20190412_23_1,1528231562223,153,0,0,0,0
20190412_23_1,1528231562326,103,1,0,0,0
20190412_23_1,1528231562479,153,0,0,0,0
20190412_23_1,1528231562581,102,1,0,0,0
20190412_23_1,1528231562733,152,0,0,0,0
20190412_23_1,1528231562835,102,1,0,0,0
20190412_23_1,1528231562987,152,0,0,0,0
20190412_23_1,1528231568552,5565,0,0,0,1
20190412_23_1,1528231569054,502,0,1,0,1
20190412_23_1,1528231578478,9424,0,0,0,1
20190412_23_1,1528231579132,654,0,1,0,1
20190412_23_1,1528231579233,101,0,0,0,1
20190412_23_1,1528231580837,1604,0,0,0,0
